ID RH;Nome Completo;Estado Civil;Sexo;Data de Nascimento;Endereç;Data de Contratacao;Data de Demissao;Salario Base;Impostos;Beneficios;VT;VR;Cargo;Níve;�rea;Ferias Acumuladas;Horas Extras;Imagem;Avaliação do Funcioná;Trabalho em Equipe;Lideranç;Comunicaç�;Iniciativa;Organizaç�
460;Adelino Araujo;C;M;04/09/1976;Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-15;07/11/2005;;853;68.24;127.95;85.3;102.36;OPI;Estagiári;Operaçõ;24;23;https://cdn.pixabay.com/photo/2019/05/24/10/59/business-man-4226005_960_720.jpg;9.2;10;8;8;10;10
5;Adelino Gomes;C;M;30/03/1974;R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-13;16/03/2000;;4450;280.8;421.2;351;421.2;ADII;Analista;Administrativo;9;121;https://dev.nu.edu.eg/wp-content/uploads/2015/11/professional-profil-picture-headshot-white-background-real-estate-profile-business-portrait-business-picture-hawaii-ohau-businessman-head-shot4.jpg;9.6;10;10;8;10;10
195;Adelino Werneck;S;M;27/04/1997;Av. Borges de Medeiros, 3120 - Praia de Belas, Porto Alegre - RS, 90110-150;23/04/2015;;11566;753.9;430.8;1077;1292.4;ADIII;Coordenador;Administrativo;47;123;https://www.sicpa.com/sites/default/files/images/2018-01/SICPA_Apprentis_D-Silva_2017-3246_970x600px.jpg;9.6;10;8;10;10;10
102;Adriano de Souza;C;M;09/12/1993;R. Brasílio Itiberê, 3279 - Água Verde, Curitiba - PR, 80250-;05/12/2011;;1459;87.54;116.72;145.9;175.08;COI;Estagiári;Comercial;59;158;https://modernbenjamin.files.wordpress.com/2014/01/wpid-picsart_1389881209335.jpg;8.4;7;9;8;9;9
133;Adrielle Sá Rodrigue;S;F;16/11/1976;R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-13;25/04/2001;;10592;804.1;321.64;804.1;964.92;LOIII;Coordenador;Logístic;18;147;https://www.thebusinesswomanmedia.com/wp-content/uploads/2015/06/AR_SuitWide_P.jpg;9.2;8;10;8;10;10
92;Alberto Ruzza de Carvalho;S;M;06/06/1980;R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-00;18/10/2007;;1577;47.31;157.7;157.7;189.24;OPI;Estagiári;Operaçõ;13;121;https://www.vippng.com/png/detail/366-3660934_business-man-business-man-face-png.png;8.4;10;8;9;9;6
167;Aledio Villié Cerqueira Silv;C;M;07/09/1975;R. Visc. de Pirajá, 136 - Ipanema, Rio de Janeiro - RJ, 22410-00;09/06/2003;;12280;1063.1;1169.41;1063.1;1275.72;FIIII;Coordenador;Financeiro;50;16;https://www.mantruckandbus.com/fileadmin/media/bilder/02_19/219_05_busbusiness_interviewHeader_1485x1254.jpg;8.2;8;8;7;9;9
342;Alfredo Machado Araujo;S;M;14/08/1986;R. Dr. Antônio Castro Prado, 422 - Vila Rossi e Borchi, Campinas - SP, 13076-13;02/04/2011;;9958;175.14;612.99;875.7;1050.84;ADIII;Coordenador;Administrativo;43;200;https://images.squarespace-cdn.com/content/v1/5852d625e3df2841c2448bd1/1491252837261-1O2LG6YF08KZ1XUY7V1I/ke17ZwdGBToddI8pDm48kFA9zd0KVW7B7zvvizl8CJYUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcKOEUgBUYQ7_rAKz3ua5P61LnR90rif4Svt5YafJynk1sUzUoF4VrfKQlp04kF3vD/business-man-headshots-boulder.jpg;7.4;4;9;4;10;10
320;Aline da Silva;S;F;22/06/1976;Av. Dom Luís, 500 - Aldeota, Fortaleza - CE, 60160-23;13/08/2015;;801;40.05;80.1;80.1;96.12;OPI;Estagiári;Operaçõ;44;120;https://image.freepik.com/free-photo/portrait-smiling-confident-young-businesswoman-with-arm-crossed_23-2148182943.jpg;9.4;10;10;7;10;10
88;Aline de Souza;S;F;04/09/1981;Shopping Barra - Av. Centenário, 2992 - Barra, Salvador - BA, 40155-15;29/03/2011;;16855;1031.38;884.04;1473.4;1768.08;ADIV;Gerente;Administrativo;37;93;https://image.freepik.com/fotos-gratis/retrato-de-estudio-da-jovem-empresaria-bem-sucedida_1262-5844.jpg;8.2;7;10;8;6;10
